date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:34	113/113	---MC-	200	added ('OK')	text/plain	date:Mon,%2022%20Aug%202022%2010:43:32%20GMT	https://almaarif.org/robots.txt		(from )
15:43:35	145955/145955	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:43:31%20GMT	https://almaarif.org/	C:/My%20Web%20Sites/ENAZAM/almaarif.org/index.html	(from )
15:43:37	26337/26337	---MC-	200	added ('OK')	application/rss+xml	etag:%226c5070dff7dd6887e4e9ad485826858d%22	https://almaarif.org/feed/	C:/My%20Web%20Sites/ENAZAM/almaarif.org/feed/index.html	(from https://almaarif.org/)
15:43:37	7473/7473	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:31:29%20GMT	https://almaarif.org/wp-content/plugins/buttonizer-multifunctional-button/assets/frontend.css?v=7ab4fd8a7cd8bd136942183145de39a0&ver=5.8.4	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/buttonizer-multifunctional-button/assets/frontend4462.css	(from https://almaarif.org/)
15:43:50	2640/2640	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:30:21%20GMT	https://almaarif.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://almaarif.org/)
15:43:51	19822/19822	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:23:23%20GMT	https://almaarif.org/wp-content/plugins/events-manager/includes/css/events_manager.css?ver=5.99911	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/events-manager/includes/css/events_manager7f60.css	(from https://almaarif.org/)
15:43:53	38503/38503	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2023:09:18%20GMT	https://almaarif.org/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.1	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/revslider/public/assets/css/settings84f5.css	(from https://almaarif.org/)
15:43:53	11529/11529	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:30:44%20GMT	https://almaarif.org/wp-content/plugins/charitable/assets/css/charitable.min.css?ver=1.6.53	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/charitable/assets/css/charitable.minbf5c.css	(from https://almaarif.org/)
15:43:54	721/721	---MC-	200	added ('OK')	application/rss+xml	etag:%22513142e8257f97eebd1a572aea14a3d2%22	https://almaarif.org/comments/feed/	C:/My%20Web%20Sites/ENAZAM/almaarif.org/comments/feed/index.html	(from https://almaarif.org/)
15:43:56	1767/1767	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202020%2015:29:44%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/themecss/wp-developer.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/themecss/wp-developer57a4.css	(from https://almaarif.org/)
15:43:59	13774/13774	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2017:56:44%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/themecss/fancybox.min.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/themecss/fancybox.min57a4.css	(from https://almaarif.org/)
15:43:59	79454/79454	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Nov%202018%2000:29:32%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/webfonts.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/webfonts57a4.css	(from https://almaarif.org/)
15:44:00	9257/9257	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Apr%202020%2018:13:42%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/themecss/ttstyles.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/themecss/ttstyles57a4.css	(from https://almaarif.org/)
15:44:10	57095/57095	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2023:29:14%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/themecss/animate.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/themecss/animate57a4.css	(from https://almaarif.org/)
15:44:12	13643/13643	---M--	200	added ('OK')	text/css	date:Sat,%2016%20May%202020%2011:24:58%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/themecss/responsive.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/themecss/responsive57a4.css	(from https://almaarif.org/)
15:44:15	124683/124683	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Jun%202020%2011:54:02%20GMT	https://almaarif.org/wp-content/themes/taqwa/style.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/style57a4.css	(from https://almaarif.org/)
15:44:16	274/274	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Apr%202021%2005:19:39%20GMT	https://almaarif.org/wp-content/uploads/font-organizer/fo-declarations.css?ver=5.8.4	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/uploads/font-organizer/fo-declarations69c8.css	(from https://almaarif.org/)
15:44:16	171/171	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Apr%202021%2005:19:39%20GMT	https://almaarif.org/wp-content/uploads/font-organizer/fo-elements.css?ver=5.8.4	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/uploads/font-organizer/fo-elements69c8.css	(from https://almaarif.org/)
15:44:28	394/394	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:20:43%20GMT	https://almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/widget/static/widgets.css?ver=3.17	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/widget/static/widgets9fa9.css	(from https://almaarif.org/)
15:44:29	8072/8072	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:20:46%20GMT	https://almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/thumbnails/nextgen_basic_thumbnails.css?ver=3.17	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/thumbnails/nextgen_basic_thumbnails9fa9.css	(from https://almaarif.org/)
15:44:30	2212/2212	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:20:46%20GMT	https://almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/slideshow/ngg_basic_slideshow.css?ver=3.17	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/slideshow/ngg_basic_slideshow9fa9.css	(from https://almaarif.org/)
15:44:30	140890/140890	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2017:55:06%20GMT	https://almaarif.org/wp-content/themes/taqwa/assets/css/bootstrap.css?ver=1655128076	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/themes/taqwa/assets/css/bootstrap57a4.css	(from https://almaarif.org/)
15:44:33	27639/27639	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2023:09:43%20GMT	https://almaarif.org/wp-content/uploads/smile_fonts/Defaults/Defaults.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/uploads/smile_fonts/Defaults/Defaults0c0f.css	(from https://almaarif.org/)
15:44:33	13362/13362	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:37:02%20GMT	https://almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/style.min.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/style.min0c0f.css	(from https://almaarif.org/)
15:44:37	1255/1255	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:37:02%20GMT	https://almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/headings.min.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/headings.min0c0f.css	(from https://almaarif.org/)
15:44:38	33489/33489	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:37:02%20GMT	https://almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/advanced-buttons.min.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/advanced-buttons.min0c0f.css	(from https://almaarif.org/)
15:44:39	70192/70192	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:37:02%20GMT	https://almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/animate.min.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/animate.min0c0f.css	(from https://almaarif.org/)
15:44:41	6028/6028	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:24:28%20GMT	https://almaarif.org/wp-content/plugins/youtube-embed-plus/styles/ytprefs.min.css?ver=13.4.3	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/youtube-embed-plus/styles/ytprefs.min30e7.css	(from https://almaarif.org/)
15:44:42	12778/12778	---M--	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2011:37:02%20GMT	https://almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/interactive-styles.min.css?ver=3.19.10	C:/My%20Web%20Sites/ENAZAM/almaarif.org/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/interactive-styles.min0c0f.css	(from https://almaarif.org/)
